'di	d i
paalam	p a q a l a m
paalisin	p a a l i s i n
paanan	p a q a n a n
paangat	p a q a ng a t
paano	p a q a n o
paanong	p a q a n o ng
paaralan	p a q a r a l a n
pabalik	p a b a l i k
pabitin	p a b i t i n
pablo	p a b l o
paborito	p a b o r i t o
paboritong	p a b o r i t o ng
pabula	p a b u l a
pabulang	p a b u l a ng
pacific	p a s i p i k
package	p a k e jh
padala	p a d a l a
pader	p a d er
paella	p a q e ly a
pag	p a g
pag-aakalang	p a g q a q a k a l a ng
pag-aalaga	p a g q a q a l a g a
pag-aalma	p a g q a q a l m a
pag-aangkat	p a g q a q a ng k a t
pag-aaral	p a g q a q a r a l
pag-aasawa	p a g q a q a s a w a
pag-angkat	p a g q a ng k a t
pag-arangkada	p a g q a r a ng k a d a
pag-arrive	p a g q a er ay v
pag-asa	p a g q a s a
pag-develop	p a g q d e v e l o p
pag-eexport	p a g q i e k s p o er t
pag-ganda	p a g q g a n d a
pag-ihi	p a g q i h i
pag-ihip	p a g q i h i p
pag-iimbak	p a g q i q i m b a k
pag-iinspeksyon	p a g q i q i n s p e k sh o n
pag-iisa	p a g q i q i s a
pag-ilag	p a g q i l a g
pag-inom	p a g q i n u m
pag-intindi	p a g q i n t i n d i
pag-lift	p a g l i f t
pag-oorganisa	p a g q o o er g e n q o er g a n
pag-papatupad	p a g p a p a t u p a d
pag-ubo	p a g q u b o q
pag-umpugin	p a g q u m p u g i n
pag-unlad	p a g q u n l a d
pag-usad	p a g q u s a d
pag-usapan	p a g q u s a p a n
pag-usbong	p a g q u s b o ng
pag-uugali	p a g q u q u g a l i q
pagadian	p a g a d i q a n
pagagandahin	p a g a g a n d a h i n
pagandahin	p a g a n d a h i n
pagawaan	p a g a w a q a n
pagbaba	p a g b a b a
pagbabago	p a g b a b a g o q
pagbabagong	p a g b a b a g o ng
pagbabalikan	p a g b a b a l i k a n
pagbabasa	p a g b a b a s a
pagbabayad	p a g b a b a y a d
pagbabayanihan	p a g b a b a y a n i h a n
pagbaha	p a g b a h a q
pagbalik	p a g b a l i k
pagbasa	p a g b a s a
pagbati	p a g b a t i q
pagbawas	p a g b a w a s
pagbawi	p a g b a w i
pagbayad	p a g b a y a d
pagbebenta	p a g b e b e n t a
pagbibigay	p a g b i b i g ay
pagbibilhan	p a g b i b i l h a n
pagbigkas	p a g b i g k a s
pagbilang	p a g b i l a ng
pagbili	p a g b i l i q
pagbubukas	p a g b u b u k a s
pagbubuwis	p a g b u b u w i s
pagbuhay	p a g b u h ay
pagdaan	p a g d a q a n
pagdadamayan	p a g d a d a m a y a n
pagdami	p a g d a m i
pagdaraanan	p a g d a r a q a n a n
pagdaramdam	p a g d a r a m d a m
pagdarasal	p a g d a r a s a l
pagdating	p a g d a t i ng
pagdonate	p a g d o n ey t
pagdurugo	p a g d u r u g u q
pagganda	p a g g a n d a
paggapang	p a g g a p a ng
paggawa	p a g g a w a
paggugugol	p a g g u g u g o l
pagguho	p a g g u h o
paghahalintulad	p a g h a h a l i n t u l a d
paghahanap	p a g h a h a n a p
paghahanda	p a g h a h a n d a
paghahangad	p a g h a h a ng a d
paghandaan	p a g h a n d a q a n
paghataw	p a g h a t aw
paghibo	p a g h i b o
paghihiganti	p a g h i h i g a n t i
paghihinagpis	p a g h i h i n a g p i s
paghihinala	p a g h i h i n a l a
paghihirap	p a g h i h i r a p
paghina	p a g h i n a
paghirit	p a g h i r i t
paghuhukay	p a g h u h u k ay
pagiging	p a g i g i ng
pagitan	p a g i t a n
pagka-ihi	p a g k a q i h i
pagkaalis	p a g k a q a l i s
pagkabaog	p a g k a b a q o g
pagkabata	p a g k a b a t a q
pagkabigla	p a g k a b i g l a
pagkadakila	p a g k a d a k i l a
pagkadating	p a g k a d a t i ng
pagkagastusan	p a g k a g a s t u s a n
pagkahaba-haba	p a g k a h a b a h a b a
pagkahiyang	p a g k a h i y a ng
pagkain	p a g k a q i n
pagkakabisa	p a g k a k a b i s a
pagkakabuklod	p a g k a k a b u k l o d
pagkakahampas	p a g k a k a h a m p a s
pagkakahawig	p a g k a k a h a w i g
pagkakaiba	p a g k a g k a q i b a
pagkakaisa'y	p a g k a g k a q i s ay
pagkakalugmok	p a g k a k a q l u g m o k
pagkakamali	p a g k a k a m a l i
pagkakaroon	p a g k a k a r o q o n
pagkakasala	p a g k a k a s a l a
pagkakataon	p a g k a k a t a q o n
pagkakataong	p a g k a k a t a q o ng
pagkakatulad	p a g k a k a t u l a d
pagkakautang	p a g k a k a q u t a ng
pagkakawakas	p a g k a k a w a k a s
pagkakayari	p a g k a k a y a r i
pagkalagas	p a g k a l a g a s
pagkalugi	p a g k a l u g i
pagkamaaaring	p a g k a m a q a q a r i ng
pagkamalikhain	p a g k a m a l i k h a q i n
pagkamatanda	p a g k a m a t a n d a
pagkaraan	p a g k a r a q a n
pagkarating	p a g k a r a t i ng
pagkat	p a g k a t
pagkatanda	p a g k a t a n d a
pagkatao	p a g k a t a o q
pagkatapos	p a g k a t a p o s
pagkawala	p a g k a w a l a q
pagkikita	p a g k i k i t a
pagkilala	p a g k i l a l a
pagkilos	p a g k i l o s
pagkuwentuhan	p a g k w e n t u h a n
paglabag	p a g l a b a g
paglaban	p a g l a b a n
paglago	p a g l a g o q
paglakas	p a g l a k a s
paglaki	p a g l a k i
paglalako	p a g l a l a k o
paglalaro	p a g l a l a r o
paglaruan	p a g l a r u q a n
paglawak	p a g l a w a k
paglaya	p a g l a y a
paglikha	p a g l i k h a
paglindol	p a g l i n d o l
paglipat	p a g l i p a t
paglukso	p a g l u k s u
pagluto	p a g l u t o q
pagmakitid	p a g m a k i t i d
pagmamadaling	p a g m a m a d a l i ng
pagmamahal	p a g m a m a h a l
pagmamalabis	p a g m a m a l a b i s
pagmamalupit	p a g m a m a l u p i t
pagmamasid	p a g m a m a s i d
pagmonitor	p a g m u n i t o r
pagnanais	p a g n a n a q i s
pagnenegosyo	p a g n e n e g o sh o q
pagod	p a g o d
pagod-pagod	p a g o d p a g o d
pagong	p a g o ng
pagpalain	p a g p a l a q i n
pagpanaw	p a g p a n aw
pagpanhik	p a g p a n h i k
pagpapadala	p a g p a p a d a l a
pagpapagayag	p a g p a p a g a y a g
pagpapahusay	p a g p a p a h u s ay
pagpapakilalang	p a g p a p a k i l a l a ng
pagpapakitang	p a g p a p a k i t a ng
pagpapala	p a g p a p a l a
pagpapalago	p a g p a p a l a g o q
pagpapalakas	p a g p a p a l a k a s
pagpapaliwanag	p a g p a p a l i w a n a g
pagpaparami	p a g p a p a r a m i
pagpapatupad	p a g p a p a t u p a d
pagpapaunlad	p a g p a p a q u n l a d
pagpapautang	p a g p a p a q u t a ng
pagpasok	p a g p a s o k
pagpili	p a g p i l i
pagpupulong	p a g p u p u l o ng
pagpupulupot	p a g p u p u l u p o t
pagrerehistro	p a g r e r e h i s t r o
pagsakatuparan	p a g s a k a t u p a r a n
pagsali	p a g s a l i q
pagsalin	p a g s a l i n
pagsampalataya	p a g s a m p a l a t a y a
pagsang-ayon	p a g s a ng q a y u n
pagsanjan	p a g s a n h a n
pagsapit	p a g s a p i t
pagsasa-larawan	p a g s a s a l a r a w a n
pagsasabi	p a g s a s a b i
pagsasalaysay	p a g s a s a l a y s ay
pagsasalita	p a g s a s a l i t a
pagsasama	p a g s a s a m a
pagsasamang	p a g s a s a m a ng
pagsasapuso	p a g s a s a p u s o q
pagsasara	p a g s a s a r a
pagsigla	p a g s i g l a
pagsikat	p a g s i k a t
pagsilip	p a g s i l i p
pagsisisi	p a g s i s i s i
pagsisiwalat	p a g s e s e w a l a t
pagsubok	p a g s u b o k
pagsugpo	p a g s u g p o
pagsulat	p a g s u l a t
pagsulong	p a g s u l o ng
pagsuot	p a g s u q u t
pagsusugal	p a g s u s u g a l
pagsusuka	p a g s u s u k a
pagsusulit	p a g s u s u l i t
pagsusuri	p a g s u s u r i
pagsusuring	p a g s u s u r i ng
pagtaas	p a g t a a s
pagtambalin	p a g t a m b a l i n
pagtanda	p a g t a n d a
pagtanggi	p a g t a ng g i
pagtapak	p a g t a p a k
pagtatapat	p a g t a t a p a t
pagtatapos	p a g t a t a p o s
pagtatrabaho	p a g t a t r a b a h o q
pagtawid	p a g t a w i d
pagtaya	p a g t a y a
pagtigil	p a g t i g i l
pagtitiis	p a g t i t i q i s
pagtitipon	p a g t i t i p o n
pagtitiwala	p a g t i t i w a l a
pagtugis	p a g t u g i s
pagtukoy	p a g t u k oy
pagtulog	p a g t u l o g
pagtulong	p a g t u l o ng
pagtupad	p a g t u p a d
pagtutulad	p a g t u t u l a d
pagtutuos	p a g t u t u q o s
pagtuturo	p a g t u t u r o
pagtutuunan	p a g t u t u q u n a n
pagudpud	p a g u d p u d
pagyabong	p a g y a b o ng
pagyamanin	p a g y a m a n i n
pahayag	p a h a y a g
pahina	p a h i n a
pahinga	p a h i ng a
pahirin	p a h i r i n
paki	p a k i
pakialam	p a k i q a l a m
pakikidigma	p a k i k i d i g m a
pakikilaban	p a k i k i l a b a n
pakikinabangan	p a k i k i n a b a ng a n
pakikipagkasundo	p a k i k i p a g k a s u n d o
pakikipaglaban	p a k i k i p a g l a b a n
pakikipagpalit	p a k i k i p a g p a l i t
pakikipagpulong	p a k i k i p a g p u l o ng
pakikipagtalik	p a k i k i p a g t a l i k
pakikiramay	p a k i k i r a m ay
pakinabang	p a k i n a b a ng
pakiramdam	p a k i r a m d a m
pakiusap	p a k i q u s a p
pakiwari	p a k i w a r i
pako	p a k o q
pakpak	p a k p a k
paksang	p a k s a ng
paksiw	p a k s iw
pal	p a l
pala	p a l a
pala-pala	p a l a p a l a q
palaaral	p a l a a r a l
palabok	p a l a b o k
palace	p a l a s
palad	p a l a d
palagi	p a l a g i
palagiang	p a l a g i q a ng
palaging	p a l a g i ng
palakas	p a l a k a s
palaki	p a l a k i
palakingkingan	p a l a k i ng k i ng a n
palakol	p a l a k o l
palakpak	p a l a k p a k
palakpakan	p a l a k p a k a n
palalabasin	p a l a l a b a s i n
palalakasin	p a l a l a k a s i n
palalawakin	p a l a l a w a k i n
palaman	p a l a m a n
palang	p a l a ng
palasingsingan	p a l a s i ng s i ng a n
palasyo	p a l a sh o q
palawan	p a l a w a n
palawigin	p a l a w i g i n
palay	p a l ay
palayain	p a l a y a q i n
palayan	p a l a y a n
palayok	p a l a y o k
palengke	p a l e ng k e
palibhasa'y	p a l i b h a s ay
paligid	p a l i g i d
paliparan	p a l i p a r a n
palitan	p a l i t a n
palitaw	p a l i t aw
paliwanag	p a l i w a n a g
palm	p a l m
palmas	p a l m a s
palo-sebo	p a l o q s e b o
pamagat	p a m a g a t
pamahalaan	p a m a h a l a q a n
pamahiin	p a m a h i q i n
pamahiing	p a m a h i q i ng
pamalo	p a m a l o
pamamaga	p a m a m a g a
pamamagitan	p a m a m a g i t a n
pamamahagi	p a m a m a h a g i
pamamaraan	p a m a m a r a q a n
pamamasyal	p a m a m a sh a l
pamamayagpag	p a m a m a y a g p a g
pamamayan	p a m a m a y a n
pamana	p a m a n a
pamangkin	p a m a ng k i n
pambansa'y	p a m b a n s ay
pambansang	p a m b a n s a ng
pambihirang	p a m b i h i r a ng
pambura	p a m b u r a
pamela	p a m e l a
pamilihan	p a m i l i h a n
pamilihang-mangga	p a m i l i h a ng q m a ng g a
pamilya	p a m i ly a
pamilyang	p a m i ly a ng
pamimili	p a m i m i l i
pamimiliin	p a m i m i l i q i n
paminsan	p a m i n s a n
paminta	p a m i n t a
pamitinan	p a m i t i n a n
pampang	p a m p a ng
pampanga	p a m p a ng g a
pampasaherong	p a m p a s a h e r o ng
pampublikong	p a m p u b l i k o ng
pamumuhay	p a m u m u h ay
pamumuhunan	p a m u m u h u n a n
pamumula	p a m u m u l a
pamumulitika	p a m u m u l i t i k a
pamumuno	p a m u m u n o
pamumuo	p a m u m u q o
pamunuan	p a m u n u q a n
pan	p a n
panahon	p a n a h o n
panahong	p a n a h o ng
panakip-butas	p a n a k i p q b u t a s
panalangin	p a n a l a ng i n
pananagutan	p a n a n a g u t a n
pananakit	p a n a n a k i t
pananalig	p a n a n a l i g
pananaliksik	p a n a n a l i k s i k
pananalita'y	p a n a n a l i t ay
pananambitan	p a n a n a m b i t a n
pananangis	p a n a n a ng i s
pananatili	p a n a n a t i l i q
pananggalang	p a n a ng g a l a ng
pananim	p a n a n i m
panatalihing	p a n a t a l i h i ng
panatilihing	p a n a t i l i h i ng
panawagan	p a n a w a g a n
panay	p a n ay
pancit	p a n s i t
pandacan	p a n d a k a n
pandaigdigang	p a n d a q i g d i g a ng
pandaraya	p a n d a r a y a
pandesal	p a n d i s a l
pang	p a ng
pang-aapi	p a ng q a a p i
pang-aasar	p a ng q a q a s a r
pang-agrikultura	p a ng q a g r i k a l t u r a
pang-anti-hypertension	p a ng q a n t ay h ay p er t e n sh o n
pang-araw-araw	p a ng q a r aw q a r aw
pang-export	p a ng q e k s p o r t
pang-unang	p a ng q u n a ng
pang-uuyam	p a ng q u q u y a m
panga	p a ng a
pangako	p a ng a k o q
pangalan	p a ng a l a n
pangalawa	p a ng a l a w a
pangalawang	p a ng a l a w a ng
panganay	p a ng a n ay
pangangailangan	p a ng a ng ay l a ng a n
pangangalaga	p a ng a ng a l a g a
pangangalos	p a ng a ng a l o s
pangangarir	p a ng a ng a r e r
pangangaso	p a ng a ng a s o
panganiban	p a ng a n i b a n
pangarap	p a ng a r a p
pangasinan	p a ng a s i n a n
pangat	p a ng a t
pangatlong	p a ng a t l o ng
pangginaw	p a ng g i n aw
pangingilabot	p a ng i ng i l a b o t
pangingisda	p a ng i ng i s d a
pangisda	p a ng i s d a
pangisdaan	p a ng i s d a q a n
pangit	p a ng i t
pangkasal	p a ng k a s a l
pangkat	p a ng k a t
pangsuweldo	p a ng s w e l d o
pangulo	p a ng u l o
pangulong	p a ng u l o ng
pangunahan	p a ng u n a h a n
pangunahing	p a ng u n a h i ng
pangunang	p a ng u n a ng
pangungulila	p a ng u ng u l i l a
pangungusap	p a ng u ng u s a p
pangyayari	p a ng y a y a r i
pangyayaring	p a ng y a y a r i ng
pani	p a n i
panig	p a n i g
paninda	p a n i n d a
paningasin	p a n i ng a s i n
paningin	p a n i ng i n
paninigarilyo	p a n i n i g a r i ly o q
paninikil	p a n i n i k i l
paniniwala	p a n i n i w a l a q
paniniwalang	p a n i n i w a l a ng
panipit	p a n i p i t
panitikang	p a n i t i k a ng
paniwala	p a n i w a l a q
panlabas	p a n l a b a s
panlipunan	p a n l i p u n a n
pansamantala	p a n s a m a n t a l a
pansamantalang	p a n s a m a n t a l a ng
pansin	p a n s i n
pantalong	p a n t a l o ng
pantas-lahi	p a n t a s l a h i
pantay-pantay	p a n t a y p a n t ay
panukala	p a n u k a l a
panukat	p a n u k a t
panuntunan	p a n u n t u n a n
panunumpa	p a n u n u m p a
panuto	p a n u t o
papa	p a p a
papag	p a p a g
papalapit	p a p a l a p i t
papalo	p a p a l o
papasok	p a p a s o k
papel	p a p i l
papers	p a p er s
papunta	p a p u n t a
papuntang	p a p u n t a ng
papupuntahan	p a p u p u n t a h a n
paputok	p a p u t o k
para	p a r a
paraan	p a r a q a n
paraisong	p a r a q i s o ng
paranaque	p a r a ny a k e
parang	p a r a ng
pari	p a r i
parin	p a r i n
paring	p a r i ng
parirala't	p a r i r a l a t
pariralang	p a r i r a l a ng
park	p a er k
parklane	p a er k l ey n
paroroonan	p a r o r o q o n a n
parte	p a r t e
partikular	p a r t i k u l a er
partner	p a r t n er
partners	p a r t n er s
party	p a r t i
paruruonan	p a r o r o q o n a n
pasahero	p a s a h e r o
pasahod	p a s a h o d
pasakop	p a s a k o p
pasalubong	p a s a l u b o ng
pasaporte	p a s a p o r t i
pasasalamat	p a s a s a l a m a t
pasaway	p a s a w a y
pasay	p a s ay
pasensiya	p a s e n s h a
pasensya	p a s e n sh a
pasig	p a s i g
pasingaw	p a s i ng aw
pasiyang	p a sh a ng
pasko	p a s k o
paso	p a s o
paso-paso	p a s o p a s o
pasonanca	p a s u n a ng k a
pasuin	p a s u q i n
pasukin	p a s u k i n
pasyalan	p a sh a l a n
pasyante	p a sh a n t i
pasyente	p a sh e n t e
pata	p a t a
patak	p a t a k
patak-ulan	p a t a k q u l a n
patakaran	p a t a k a r a n
patalastas	p a t a l a s t a s
patalim	p a t a l i m
patani	p a t a n i
patarakan	p a t a r a k a n
patawad	p a t a w a d
patawarin	p a t a w a r i n
patay	p a t ay
patayin	p a t a y i n
patayu-tayo	p a t a y u t a y o q
pateros	p a t i r o s
pati	p a t i
patibong	p a t i b o ng
patid	p a t i d
patilya	p a t i ly a
patio	p a t i y ow
patis	p a t i s
patlang	p a t l a ng
patnubay	p a t n u b ay
patok	p a t o k
patricia	p a t er i sh a
patrick	p a t er i k
patubig	p a t u b i g
patuloy	p a t u l oy
patunay	p a t u n ay
patungkol	p a t u ng k o l
patungo	p a t u ng o
patungong	p a t u ng o ng
paul	p aw l
paulit	p a q u l i t
paulit-ulit	p a q u l i t q u l i t
paulo	p aw l o
paumanhin	p a q u m a n h i n
paunti	p a q u n t i
paunti-unti	p a q u n t i q u n t i
paunting	p a q u n t i ng
pavilion	p a v i ly uh n
pawang	p a w a ng
pawikan	p a w i k a n
pawis	p a w i s
payabang	p a y a b a ng
payo	p a y o q
payong	p a y o ng
paz	p a z
pbc	p i b i s i
pcci	p i s i s i q ay
pci	p i s i q ay
pearl	p er l
pebrero	p e b r e r o
pedestal	p e d e s t a l
pedro	p e d r o
peke	p e k e
pekeng	p e k e ng
pelikula	p e l i k u l a
peninsula	p e n i n s u l a
per	p e r
percent	p e r s e n t
perez	p e r e s
performance	p er f er m a n s
pero	p e r o
personalidad	p er s o n a l i d a d
perya't	p e r y a t
pesos	p e s o s
peste	p e s t e
peter	p i t e r
petrolyo	p e t r o ly o q
petron	p e t r o n
pgma	p g m a
phil	f i l
phil-export	f i l q e k s p o er t
philex	f i l i k s
philippine	f i l i p i n
philippines	f i l i p i n s
philtrust	f i l t er a s t
phivolcs	f i v o l s i s
phone	f ow n
pia	p i y a
piatco	p i y a t k o
pichi-pichi	p i ch i p i ch i q
pigilan	p i g i l a n
pigilin	p i g i l i n
pigsa	p i g s a
pihikang	p i h i k a ng
pilak	p i l a k
pilandok	p i l a n d o k
pili	p i l i
pilikmata	p i l i k m a t a
piling	p i l i ng
pilipinas	p i l i p i n a s
pilipino	p i l i p i n o
pilipino'y	p i l i p i n oy
pilipinong	p i l i p i n o ng
pilit	p i l i t
piloto	p i l o t o
pilyo	p i ly o q
pimples	p i m p l e s
pinababayaan	p i n a b a b a y a q a n
pinag-aaralan	p i n a g q a q a r a l a n
pinag-iingat	p i n a g q i i ng a t
pinag-tibay	p i n a g q t i b ay
pinagbabayaran	p i n a g b a b a y a r a n
pinagbigyan	p i n a g b i g y a n
pinagbilhan	p i n a g b i l h a n
pinagbuhatan	p i n a g b u h a t a n
pinagdarayo	p i n a g d a r a y o q
pinagkaiba	p i n a g k a q i b a
pinagkainan	p i n a g k a q i n a n
pinagkakakitaan	p i n a g k a k a k i t a q a n
pinagkayarian	p i n a g k a y a r i q a n
pinagkukublihan	p i n a g k u k u b l i h a n
pinagkukunan	p i n a g k u k u n a n
pinaglabanan	p i n a g l a b a n a n
pinagmulan	p i n a g m u l a n
pinagmulang	p i n a g m u l a ng
pinagpapawisan	p i n a g p a p a w i s a n
pinagpupugaran	p i n a g p u p u g a r a n
pinagsamang	p i n a g s a m a ng
pinagtatamasa	p i n a g t a t a m a s a
pinagtibay	p i n a g t i b ay
pinagtulung-tulungan	p i n a g t u l o ng t u l u ng a n
pinagtutulungan	p i n a g t u t u l u ng a n
pinagtutuonan	p i n a g t o t o q o n a n
pinagulungan	p i n a g u l u ng a n
pinaka-mababang	p i n a k a q m a b a b a ng
pinaka-mataas	p i n a k a q m a t a q a s
pinaka-matinding	p i n a k a q m a t i n d i ng
pinakabiniyayaan	p i n a k a b i ny a y a q a n
pinakabukang	p i n a k a b u k a ng
pinakaimportanteng	p i n a k a q i m p o r t a n t i ng
pinakainteresado	p i n a k a q i n t e er e s a d o
pinakakaraniwang	p i n a k a k a r a n i w a ng
pinakakatawanan	p i n a k a k a t a w a n a n
pinakamababang	p i n a k a m a b a b a ng
pinakamaingay	p i n a k a m a q i ng ay
pinakamalawak	p i n a k a m a l a w a k
pinakamataas	p i n a k a m a t a q a s
pinakamatalik	p i n a k a m a t a l i k
pinakamatanda	p i n a k a m a t a n d a
pinakapaborito	p i n a k a p a b o r i t o
pinakapaboritong	p i n a k a p a b o r i t o ng
pinakatahimik	p i n a k a t a h i m i k
pinakbet	p i n a k b i t
pinakikingan	p i n a k i k i ng a n
pinakikinggan	p i n a k i k i ng g a n
pinakiusapan	p i n a k a q u s a p a n
pinakuluan	p i n a k u l u q a n
pinalakas	p i n a l a k a s
pinalaman	p i n a l a m a n
pinamagatang	p i n a m a g a t a ng
pinamamahalaan	p i n a m a m a h a l a q a n
pinangalanang	p i n a ng a l a n a ng
pinangat	p i n a ng a t
pinanggalingan	p i n a ng g a l i ng a n
pinangulila	p i n a ng u l i l a
pinaniniwalaang	p i n a n i n i w a l a q a ng
pinansyal	p i n a n sh a l
pinapanood	p i n a p a n u d
pinapansin	p i n a p a n s i n
pinapayagan	p i n a p a y a g a n
pinaplano	p i n a p l a n o
pinapurihan	p i n a p u r i h a n
pinaputok	p i n a p u t o k
pinas	p i n a s
pinasabog	p i n a s a b u g
pinasan	p i n a s a n
pinaso	p i n a s o
pinasok	p i n a s o k
pinatawad	p i n a t a w a d
pinatawan	p i n a t a w a n
pinaupo	p i n a q o p u
pinilit	p i n i l i t
pinipitas	p i n i p i t a s
pinirito	p i n i r i t o
pink	p i n k
pinoy	p i n oy
pinsan	p i n s a n
pinto	p i n t o
pintong	p i n t o ng
pintuan	p i n t u q a n
pinuno	p i n u n o
pinuri	p i n u r i
pinutol	p i n u t o l
pipiliin	p i p i l i q i n
pipit	p i p i t
pirasong	p i r a s o ng
pisara	p i s a r a
pisngi	p i s ng i q
pisngi'y	p i sh ng i
piso	p i s o
pisong	p i s o ng
pistang-bayan	p i s t a ng b a y a n
pito	p i t o
pito-pito	p i t o p i t o
pitong	p i t o ng
pitumpu	p i t u m p u
pitumpu't	p i t u m p u t
pitumpung	p i t u m p u ng
piyaya	p i y a y a
place	p l ey s
plain	p l a q i n
plan	p l a n
planning	p l a n i ng
plano	p l a n o
planta	p l a n t a
plantang	p l a n t a ng
plantasyon	p l a n t a sh o n
plasa	p l a s a
plastik	p l a s t i k
plataporma	p l a t a p o r m a
platelets	p l a t e l e t s
player	p l ey er
plaza	p l a s a
pldt	p l d t
plema	p l e m a
po	p o
pochero	p o ch e r o
poea	p o e y a
point	p oy n t
points	p oy n t s
polisiya	p o l i s i y a
political	p o l i t i k a l
pollen	p o l e n
polo	p o l o
pondo	p o n d o
pondohan	p o n d o h a n
pondong	p o n d o ng
pong	p o ng
pook	p o o k
poong	p o q o ng
popondohan	p o p o n d o h a n
poprotektahan	p o p r o t e k t a h a n
porsiyento	p o er sh e n t o
porsyento	p o er sh e n t o
porsyentong	p o er sh e n t o ng
posible	p o s i b l i
posibleng	p o s i b l e ng
posisyon	p o s i sh uh n
potensyal	p o t e n sh a l
power	p a w er
powerplant	p a w er p l a n t
pray	p r ay
prayle	p r ay l e
prepaid	p r i p a q i d
preparedness	p r i p a r e d n e s
presentasyon	p r e s e n t a sh u n
presidential	p r e s i d e n t i y a l
press	p er e s
presyo	p r e sh o q
presyon	p r e sh o n
price	p er ay s
prime	p er ay m
prince	p er e n s
princesa	p er e n s e s a
principal	p er i n s i p a l
prinsipal	p er i n s i p a l
prinsipe	p er i n s i p i
prito	p r i t o
privatization	p r ay v a t i z a sh y u n
probabilidad	p r o b a b i l i d a d
probinsya	p r o b i n sh a
problema	p r o b l e m a
problems	p r o b l e m s
producers	p r o d u s er s
product	p er o d uh k t
products	p er o d uh k t s
produksiyon	p r o d u k sh o n
produksyon	p r o d u k sh o n
produkto	p r o d u k t o
produktong	p r o d u k t u ng
program	p er ow g er ae m
programa	p r o g r a m a
programang	p r o g r a m a ng
progresibong	p r o g r e s i b o ng
project	p r o h i k t
projection	p r o h e k sh uh n
projects	p r o h i k t s
promo	p r o m o
prop	p r o p
properties	p r o p er t i s
proseso	p r o s e s o
proteksyon	p r o t e k sh o n
providers	p r o v e d er s
proyekto	p r o y e k t o
proyektong	p r o y e k t o ng
prusisyon	p r u s i sh uh n
pse	p s
puberty	p u b er t i
public	p a b l i k
publikasyon	p u b l i k a sh u n
publiko	p u b l i k o
puerto	p u er t o
pugad	p u g a d
puhunan	p u h u n a n
pukol	p u k o l
pula	p u l a
pulang	p u l a ng
pulis	p u l i s
pulitika	p o l i t i k a
pulo	p u l o
pulog	p u l o g
pulong	p u l o ng
pulutan	p u l u t a n
pulutin	p u l u t i n
pumalo	p u m a l o
pumapalo	p u m a p a l o
pumasok	p u m a s o k
pumayag	p u m a y a g
pumila	p u m i l a q
pumili	p u m i l i q
pumitas	p u m i t a s
pumulas	p u m u l a s
pumunta	p u m u n t a
pumuputok	p u m u p u t o k
pumutak	p u m u t a k
pumutok	p u m u t o k
pumuwesto	p u m w e s t o
punan	p u n a n
punasan	p u n a s a n
punasi	p u n a s i
pundasyon	p u n d a sh u n
puno	p u n o
punong	p u n o ng
punong-saging	p u n o ng q s a g i ng
punongkahoy	p u n o ng k a h oy
punongkahoyy	p u n o ng k a h oy i
punta	p u n t a
puntahan	p u n t a h a n
punung-puno	p u n u ng p u n o
pupunga-pungas	p u p u ng a p u ng a s
pupunta	p u p u n t a
pupursigi	p u p u r s i g i
puri	p u r i
purines	p o r ay n s
pusa	p u s a
puso	p u s o q
pusod	p u s o d
puson	p u s o n
pusong	p u s o ng
putahe	p u t a h e
puti	p u t i q
puto	p u t o
putulin	p u t u l i n
puwede	p u w e d e
puwedeng	p u w e d i ng
puwet	p w e t
puwit	p u w e t
puwitan	p u w i t a n
puyat	p o y a t
puyo	p u y o q
pwede	p w e d i
pwedeng	p w e d i ng
pwesto	p w e s t o
quarter	k a r t e r
quezon	k e z o n
quiapo	k y a p o q
r	r
raan	r a q a n
raang	r a q a ng
rachelle	r ey ch e l
radio	r a jh o
rafael	r a f a e l
rag	r a g
ragat	r a g a t
raisers	r a q i s er s
ralph	er ae l f
ramos	r a m o s
randy	r a n d i
rash	r a sh
rate	r ey t
ratio	er ey sh o
raul	r a q u l
raw	r aw
ready	r e q a d i
reality	r e q a l i t i
rebecca	r e b e k a
recess	r i s e s
record	er e k o er d
recreational	r i k r e ey sh u n a l
red	er e d
reef	r i f
reform	er i f er m
regalong	r e g a l o ng
regency	r i jh e n s i
regional	r i jh u n a l
regions	er i jh uh n s
register	r e jh e s t er
regular	r e g y u l a r
rehabilitasyon	r e h a b i l i t a sh u n
reklamo	r e k l a m u
reklamong	r e k l a m u ng
relleno	r e ly e n o
remittances	r e m i t a n s e s
renta	r e n t a
repair	r i p a er
reporma	r e p o r m a
reprersentative	r e p r e er s e n t a t i v
reserve	r e s er v
reserves	r e s er v e s
residence	r e s i d e n s
residences	r e s i d e n s e s
resolbahin	r e s o l b a h i n
resolusyon	r e s o l u sh o n
resort	r i s o er t
resources	r i s o o er s e s
restrictions	r e s t r i k sh uh n s
resty	r e s t i
resulta	r e s u l t a
results	r e s u l t s
retail	r e t e l
reuters	r i u t er s
revenue	r i v e n w e
rey	er i
reyes	r i y e s
rhinitis	r h i n i t i s
ricardo	r i k a r d o
rice	r ay s
richard	r i ch a er d
rin	r i n
ring	r i ng
ringring	r i ng r i ng
rito	r i t o
riu-kiu	r i y u k y u
river	r i v er
rivera	r i v e r a
riyan	r i y a n
rizal	r i z a l
rmn	r m n
road	r ow d
robina	er o b i n a
robinsons	er o b i n s o n s
